,commit,type,min,med,max,jump,trend
164,60,simple queries,-9.079117625760214,-7.173996090610023,-5.911720368126527,,
60,61,inserts,14.567475492265668,15.767152199174372,17.61551316943491,,
270,61,group-by queries,-0.9309983933070808,0.9316825237406734,1.7855178810306738,potential down,
165,61,simple queries,-10.476809892585003,-8.138419460040334,-6.554040459679412,,
61,62,inserts,13.301857359704547,14.603366528575881,15.574886365755546,potential down,potential down
271,62,group-by queries,-0.1111535604878755,1.2452501722880038,2.9553457750589818,,
166,62,simple queries,-10.218356634331473,-8.323319164937725,-6.294228981157933,,
272,63,group-by queries,-1.1808110760675228,1.0925248101517848,2.0002606580554527,,
167,63,simple queries,-8.60987100651588,-7.597153993571227,-5.712601928805282,,
62,63,inserts,13.342043548714669,13.93948368917648,14.723309194642132,,definite down
168,64,simple queries,-9.690738095802898,-7.3352703108432555,-4.434615775114237,,
63,64,inserts,13.162404208569374,14.235616390377047,15.440000990089707,,
273,64,group-by queries,0.13642792140180493,0.8933046195847227,2.18989177597202,,
169,65,simple queries,-9.671023678865444,-8.800871766488747,-7.129806219601242,,
64,65,inserts,13.623834808342883,14.811240041270747,15.767250156323275,,
274,65,group-by queries,-1.2870550965875085,0.019174826336176842,1.666350452533738,,
65,66,inserts,14.664469009454953,15.341816290225266,16.06582439984483,,
275,66,group-by queries,-0.43766880990788737,0.5011147242163894,1.6068204425874422,,
170,66,simple queries,-9.596780890105572,-6.876783053289692,-5.173495049894639,,
276,67,group-by queries,-0.7598578222448693,0.4608583471098271,1.5113325686459067,,
171,67,simple queries,-8.489446564120009,-7.320416348011049,-5.9969484597185545,,
66,67,inserts,14.189528692690589,14.934648753876512,15.464308995953946,,
277,68,group-by queries,-0.5646231155205461,1.1664937051296231,3.027391605312113,,
172,68,simple queries,-10.072023745846348,-8.19965609680594,-6.353887019878313,,
67,68,inserts,14.372763259876175,15.290964067207382,16.135281628640573,,
278,69,group-by queries,0.1447410733354193,1.2413096670651047,2.5775665056424035,,
173,69,simple queries,-9.99461265970567,-8.410646639009355,-6.3232040122632505,,
68,69,inserts,14.12403549097625,14.674955347536757,15.292211698532455,,
174,70,simple queries,-8.888417777767211,-6.354045983044976,-5.350731089581884,potential up,
69,70,inserts,14.050938427273676,16.607767413087586,21.84735814478059,potential up,potential up
279,70,group-by queries,-0.2695612548416326,1.4997872004064217,2.47179892936118,,
70,71,inserts,13.396111750981454,14.412655588669534,15.25088848981109,potential down,
280,71,group-by queries,-0.3705964052121757,0.6592789014988165,1.430759794737857,,
175,71,simple queries,-8.840822404602477,-7.444286677748612,-5.785634925007155,,
71,72,inserts,14.243844851802411,15.113539550413012,15.85831925643788,,
281,72,group-by queries,0.4052936197691537,1.360399800140888,3.1751461252059743,,
176,72,simple queries,-8.079588719835883,-6.113283080137443,-3.7448361566477346,,
72,73,inserts,12.976833600412018,14.571329861718276,15.680799145085375,,
177,73,simple queries,-7.00300823311969,-5.060027701222958,-2.8048763372066627,,definite up
282,73,group-by queries,-0.03046645702612372,1.6066883108201593,3.0175326141659515,,
178,74,simple queries,-8.51854947119135,-7.181475053316733,-5.597619481979987,potential down,
73,74,inserts,13.670483742914687,14.063707218356905,14.415247363927586,,
283,74,group-by queries,-0.3175478792521891,0.4810610299246454,2.3482506934610514,potential down,
179,75,simple queries,-8.83355426879765,-7.317448816357019,-5.908317056214318,,
74,75,inserts,13.83990175557792,14.427325590268135,15.150085484028184,,
284,75,group-by queries,-0.07969144128412431,1.3911344414447635,2.595929808235087,,
75,76,inserts,13.989346684549297,14.713378183901147,15.607852052662619,,
285,76,group-by queries,-0.6618469299853547,0.4229407869477564,2.9466993943719317,,
180,76,simple queries,-8.617017625936196,-7.341099118079541,-5.7888559993049205,,
286,77,group-by queries,-0.8214418930127976,0.19407005896336926,1.5864352719326955,,
181,77,simple queries,-9.051666283215242,-7.980912234032756,-7.080048101647653,,
76,77,inserts,13.951171118830107,14.927395969044197,15.567666297083152,,
287,78,group-by queries,0.4586257574789698,1.6745524793849942,2.5816653405462686,potential up,
182,78,simple queries,-9.800811297526712,-7.121086610728335,-5.179240168765009,,
77,78,inserts,14.669230920060187,15.096536762604716,15.583557561607895,,
288,79,group-by queries,-0.9072575356718016,-0.02483429136673765,1.5839717901186212,potential down,potential down
78,79,inserts,13.901527822004178,14.650267745855563,15.36470870155149,,
183,79,simple queries,-9.623310410236762,-7.8360632079150125,-6.099231849075581,,
79,80,inserts,14.855617486964688,15.275024011171913,15.689745922848044,,
184,80,simple queries,-8.314911681988757,-6.534727534251883,-3.4895859985572435,,
289,80,group-by queries,0.3580548944976503,1.1392768401049078,2.31344799529809,potential up,
185,81,simple queries,-9.67663619346628,-8.161893226171168,-6.427762023335283,,
290,81,group-by queries,-1.0756904147866009,0.3426125285641124,1.6197178330906723,,
80,81,inserts,13.855285864955881,14.565128688165727,15.154991584589105,,
291,82,group-by queries,-1.1672702008045601,0.32029669438242697,1.7605113236333958,,
81,82,inserts,14.128486582302413,14.642666783470373,15.17876592912666,,
186,82,simple queries,-8.576879438874608,-6.816794782214341,-5.299889986384931,,
292,83,group-by queries,0.04949595643197746,0.9834549335542286,2.18858726497253,,
187,83,simple queries,-9.684236695829574,-8.309941842866941,-7.179214818211987,,
82,83,inserts,14.231287502798365,14.950757684198825,15.795146815501584,,
293,84,group-by queries,-0.1188777511516692,1.062752689918045,3.645241593661841,,
83,84,inserts,13.915204230916213,14.978451998855613,15.542740201923896,,
188,84,simple queries,-9.831536469920644,-8.3250133366488,-6.1102240971972925,,
294,85,group-by queries,0.5404484034899903,2.1152726132015465,2.8269945061717205,potential up,potential up
189,85,simple queries,-9.513319039909954,-7.6301090623543075,-5.609714238134922,,
84,85,inserts,13.902110779696587,14.731317106857311,15.5868071053352,,
85,86,inserts,13.168817359232275,14.580581082434405,16.158862615366985,,
295,86,group-by queries,-0.8060412143068185,0.1213915008891231,1.7275498161787972,potential down,
190,86,simple queries,-10.544451208094653,-7.948352984390395,-5.88338922233006,,
191,87,simple queries,-8.239344602930975,-6.827284498404162,-5.611191596994214,,
296,87,group-by queries,0.5169957052966412,1.3821445982725278,2.6990133027701364,potential up,
86,87,inserts,12.507111768906976,13.53889679540683,14.540030941661007,potential down,definite down
192,88,simple queries,-8.266034795961517,-6.2142141659020655,-4.949563867884944,,
87,88,inserts,13.382800943838726,14.900769598517382,16.00069315365287,potential up,
297,88,group-by queries,-1.1576431318575664,-0.08295885360669608,0.8644134517047375,potential down,
298,95,group-by queries,-1.200388034157085,0.3464673110536776,1.7949708117220189,,
193,95,simple queries,-9.286941374543256,-8.116535633573784,-6.619540400728408,,
88,95,inserts,14.677827075934346,16.021619969664336,16.476514976485767,potential up,definite up
194,96,simple queries,-7.467388775819862,-6.198047551192431,-4.908250326848629,,
89,96,inserts,15.017671426076104,15.549432514251516,16.074957218938323,,
299,96,group-by queries,-0.5343486024996014,0.8719022641451302,2.66141467541734,,
90,97,inserts,15.437669727326252,16.004666682339753,16.400876436805834,,definite up
195,97,simple queries,-8.66669973234121,-6.873653251721201,-4.752568733733675,,
300,97,group-by queries,-0.532039757863767,1.2786855445789058,3.3121736001897384,,
91,98,inserts,14.278331194745464,14.860481422436099,15.38134510731879,definite down,
301,98,group-by queries,0.2365443243804721,1.3688964534771533,2.357073220156592,,
196,98,simple queries,-7.571594029330564,-5.94690071152344,-4.515544719032894,,
197,99,simple queries,-7.894495187193351,-6.502420663966968,-4.589101043124499,,
302,99,group-by queries,-0.07934722058509093,0.8178735228032696,2.7213816907597943,,
92,99,inserts,14.483149773169155,15.796535022207479,17.101451691562765,,
93,100,inserts,15.003667015237829,15.833259691306491,16.751722406667824,,
198,100,simple queries,-10.595486188787683,-8.106860930502625,-6.034629214236818,,
303,100,group-by queries,0.12817910156330825,1.0628430332054295,2.163412963540723,,
304,101,group-by queries,-0.02724189553131584,1.7518460883808595,2.78453584399736,,
199,101,simple queries,-9.376288421764356,-7.106448422883549,-5.422913286104869,,
94,101,inserts,14.404014238642507,14.885995858782053,15.280295631575358,,
200,102,simple queries,-9.48314910658886,-7.165014860673125,-5.376913008580009,,
305,102,group-by queries,1.3517955318122166,2.2234745122166943,2.9654973174483286,,definite up
95,102,inserts,14.971072115579732,15.783201383658055,16.544533851426667,,
201,103,simple queries,-7.458949808208092,-5.56503516822191,-3.7343596471563707,,
306,103,group-by queries,0.8952369981919173,1.744013207633266,3.4729975443667627,,
96,103,inserts,14.48883109986021,15.202752181786904,15.896990269629915,,
202,104,simple queries,-7.851084636796467,-5.744935084047008,-3.3010980155989245,,
97,104,inserts,15.153971690317515,15.831365578386269,16.397094013810822,,
307,104,group-by queries,0.8618865422906241,2.122018953526239,3.82524939970581,,
98,105,inserts,14.650558677314864,15.565173884097394,16.311565627243517,,
308,105,group-by queries,0.2936973111006047,1.5160824404921058,2.534073903577428,,
203,105,simple queries,-8.405379902478495,-6.4312864691637,-4.25596433866593,,
99,106,inserts,14.750554821352699,15.483997741991162,15.996226928327587,,
309,106,group-by queries,-0.4026501833864993,0.25133517570485875,2.2382180520407857,potential down,potential down
204,106,simple queries,-8.224606569897496,-6.7540750450768,-4.428352931859603,,
100,107,inserts,15.447348458971426,16.05934546168215,16.547908048104066,,
310,107,group-by queries,0.805260833455046,2.0370499496915384,3.0481855541059977,potential up,
205,107,simple queries,-7.14160916020381,-6.029910364715342,-4.798476405518592,,
311,108,group-by queries,0.7522320376582403,2.038200037126514,3.2988396170724466,,
101,108,inserts,14.872190735663905,16.019474940688916,16.668202022723634,,
206,108,simple queries,-8.66828936222781,-5.681192306555016,-3.939863649117104,,
207,109,simple queries,-8.652014139199583,-7.214501759407532,-5.766853898552125,,
312,109,group-by queries,0.41834453853968334,1.2778267313737546,2.0312819517896763,,
102,109,inserts,14.455382753165155,15.710277736030795,16.582112740828837,,
313,110,group-by queries,0.2564872829415421,1.9094363660634217,2.4054331595343204,,
103,110,inserts,15.088453971247096,16.28651943371835,16.80791200553884,,
208,110,simple queries,-8.144848940203186,-6.752009441827732,-5.467816126795754,,
209,111,simple queries,-9.657433975253817,-6.791787397916982,-4.721417928620298,,
104,111,inserts,14.318262227293445,14.847796049215846,15.353791107923564,potential down,
314,111,group-by queries,-0.7645881597676984,0.18355544677237656,1.9845381287160182,potential down,potential down
